model,disease,fold_id,uf,date,horizon_weeks,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95,observed_value,wis,dispersion,overprediction,underprediction,ae_median,coverage_50,coverage_80,coverage_90,coverage_95
naive,dengue,1,1200203,2022-10-09,16,0.0,0.0,0.0,8.0,14.0,21.0,62.0,125.09999999999968,398.89999999999895,11,6.039444444444437,6.039444444444437,0.0,0.0,3.0,True,True,True,True
naive,dengue,1,1200203,2022-10-16,17,0.0,0.0,0.0,8.0,14.0,21.0,66.0,146.10000000000014,495.5999999999931,13,6.67666666666663,6.67666666666663,0.0,0.0,1.0,True,True,True,True
naive,dengue,1,1200203,2022-10-23,18,0.0,0.0,0.0,8.0,14.0,21.0,69.0,168.79999999999882,516.9999999999874,20,7.669999999999918,7.669999999999918,0.0,0.0,6.0,True,True,True,True
naive,dengue,1,1200203,2022-10-30,19,0.0,0.0,0.0,7.0,14.0,22.0,69.0,195.79999999999973,530.8000000000047,10,7.935555555555581,7.935555555555581,0.0,0.0,4.0,True,True,True,True
naive,dengue,1,1200203,2022-11-06,20,0.0,0.0,0.0,7.0,14.0,22.0,73.0,213.0,542.0,18,8.277777777777779,8.277777777777779,0.0,0.0,4.0,True,True,True,True
naive,dengue,1,1200203,2022-11-13,21,0.0,0.0,0.0,7.25,14.0,22.0,76.0,221.74999999999977,588.6749999999932,12,8.464861111111073,8.464861111111073,0.0,0.0,2.0,True,True,True,True
naive,dengue,1,1200203,2022-11-20,22,0.0,0.0,0.0,8.0,14.0,23.0,73.60000000000014,233.00000000000034,631.2999999999895,10,9.009444444444394,9.009444444444394,0.0,0.0,4.0,True,True,True,True
naive,dengue,1,1200203,2022-11-27,23,0.0,0.0,0.0,7.0,14.0,23.0,77.0,242.54999999999984,638.7499999999816,17,9.176944444444342,9.176944444444342,0.0,0.0,3.0,True,True,True,True
naive,dengue,1,1200203,2022-12-04,24,0.0,0.0,0.0,7.0,14.0,25.0,78.99999999999989,254.59999999999945,653.5500000000048,6,10.32638888888891,10.10416666666669,0.2222222222222222,0.0,8.0,False,True,True,True
naive,dengue,1,1200203,2022-12-11,25,0.0,0.0,0.0,7.25,14.0,24.0,82.5,250.75,646.375,10,9.585416666666667,9.585416666666667,0.0,0.0,4.0,True,True,True,True
naive,dengue,1,1200203,2022-12-18,26,0.0,0.0,0.0,7.0,14.0,24.0,79.20000000000005,256.5999999999997,661.7999999999945,9,9.787777777777746,9.787777777777746,0.0,0.0,5.0,True,True,True,True
naive,dengue,1,1200203,2022-12-25,27,0.0,0.0,0.0,8.0,14.0,24.0,81.70000000000005,264.5000000000002,669.9749999999888,7,10.36541666666661,10.143194444444386,0.2222222222222222,0.0,7.0,False,True,True,True
naive,dengue,1,1200203,2023-01-01,28,0.0,0.0,0.0,7.0,14.0,24.0,82.0,284.5999999999999,680.6999999999832,35,14.48833333333324,12.043888888888794,0.0,2.4444444444444446,21.0,False,True,True,True
naive,dengue,1,1200203,2023-01-08,29,0.0,0.0,0.0,7.25,14.0,25.0,83.89999999999998,292.3999999999992,687.0500000000054,28,12.138611111111134,11.471944444444468,0.0,0.6666666666666666,14.0,False,True,True,True
naive,dengue,1,1200203,2023-01-15,30,0.0,0.0,0.0,8.0,14.0,25.0,88.0,288.0,700.0,28,12.211111111111114,11.544444444444446,0.0,0.6666666666666666,14.0,False,True,True,True
naive,dengue,1,1200203,2023-01-22,31,0.0,0.0,0.0,8.0,14.0,25.0,90.10000000000002,295.0999999999999,714.5249999999945,25,11.417361111111083,11.417361111111083,0.0,0.0,11.0,True,True,True,True
naive,dengue,1,1200203,2023-01-29,32,0.0,0.0,0.0,8.0,14.0,24.0,90.0,291.20000000000005,712.9499999999896,44,17.863055555555505,13.418611111111057,0.0,4.444444444444445,30.0,False,True,True,True
naive,dengue,1,1200203,2023-02-05,33,0.0,0.0,0.0,9.0,14.0,24.0,91.9000000000002,299.7499999999999,730.9749999999814,36,15.378194444444347,12.71152777777768,0.0,2.6666666666666665,22.0,False,True,True,True
naive,dengue,1,1200203,2023-02-12,34,0.0,0.0,0.0,9.0,14.0,26.0,93.19999999999982,298.99999999999966,756.8000000000058,17,10.875555555555584,10.875555555555584,0.0,0.0,3.0,True,True,True,True
naive,dengue,1,1200203,2023-02-19,35,0.0,0.0,0.0,9.0,14.0,24.25,91.5,296.75,769.75,27,12.509722222222226,11.898611111111116,0.0,0.6111111111111112,13.0,False,True,True,True
naive,dengue,1,1200203,2023-02-26,36,0.0,0.0,0.0,9.0,14.0,24.5,93.0,294.89999999999986,770.1499999999947,44,18.149722222222195,13.81638888888886,0.0,4.333333333333333,30.0,False,True,True,True
naive,dengue,1,1200203,2023-03-05,37,0.0,0.0,0.0,9.0,14.0,26.0,101.10000000000014,298.35,791.2499999999877,34,14.901944444444382,13.124166666666603,0.0,1.7777777777777777,20.0,False,True,True,True
naive,dengue,1,1200203,2023-03-12,38,0.0,0.0,0.0,9.0,14.0,25.0,98.4000000000002,299.5999999999999,801.499999999984,21,11.634999999999916,11.634999999999916,0.0,0.0,7.0,True,True,True,True
naive,dengue,1,1200203,2023-03-19,39,0.0,0.0,0.0,9.0,14.0,25.25,98.59999999999991,295.1499999999995,818.5000000000059,27,12.753888888888916,12.365000000000029,0.0,0.3888888888888889,13.0,False,True,True,True
naive,dengue,1,1200203,2023-03-26,40,0.0,0.0,0.0,9.0,14.0,25.0,99.0,296.5,832.5,18,11.45277777777778,11.45277777777778,0.0,0.0,4.0,True,True,True,True
naive,dengue,1,1200203,2023-04-02,41,0.0,0.0,0.0,8.25,14.0,25.75,99.10000000000002,299.64999999999986,841.0999999999945,29,13.565555555555527,12.843333333333305,0.0,0.7222222222222222,15.0,False,True,True,True
naive,dengue,1,1200203,2023-04-09,42,0.0,0.0,0.0,9.0,14.0,27.0,98.60000000000014,302.60000000000014,850.7999999999888,32,14.391111111111059,13.279999999999946,0.0,1.1111111111111112,18.0,False,True,True,True
naive,dengue,1,1200203,2023-04-16,43,0.0,0.0,0.0,8.0,14.0,26.0,99.9000000000002,297.2499999999999,855.9999999999836,28,13.278333333333247,12.833888888888803,0.0,0.4444444444444444,14.0,False,True,True,True
naive,dengue,1,1200203,2023-04-23,44,0.0,0.0,0.0,8.5,14.0,26.0,101.79999999999995,305.2999999999994,865.1000000000056,10,11.87722222222225,11.87722222222225,0.0,0.0,4.0,True,True,True,True
naive,dengue,1,1200203,2023-04-30,45,0.0,0.0,0.0,8.0,14.0,26.0,101.5,299.75,870.0,15,11.530555555555559,11.530555555555559,0.0,0.0,1.0,True,True,True,True
naive,dengue,1,1200203,2023-05-07,46,0.0,0.0,0.0,8.0,14.0,26.0,102.00000000000011,309.7999999999997,878.4999999999944,12,11.811666666666639,11.811666666666639,0.0,0.0,2.0,True,True,True,True
naive,dengue,1,1200203,2023-05-14,47,0.0,0.0,0.0,8.0,14.0,26.0,103.70000000000005,303.70000000000005,885.774999999989,21,12.377638888888832,12.377638888888832,0.0,0.0,7.0,True,True,True,True
naive,dengue,1,1200203,2023-05-21,48,0.0,0.0,0.0,8.0,14.0,25.0,103.20000000000027,316.2999999999996,889.9999999999836,9,12.252222222222137,12.252222222222137,0.0,0.0,5.0,True,True,True,True
naive,dengue,1,1200203,2023-05-28,49,0.0,0.0,0.0,8.0,14.0,26.0,104.0,309.94999999999993,894.0000000000055,13,11.832777777777812,11.832777777777812,0.0,0.0,1.0,True,True,True,True
naive,dengue,1,1200203,2023-06-04,50,0.0,0.0,0.0,9.0,14.0,25.0,104.0,320.0,906.0,6,13.344444444444447,12.67777777777778,0.6666666666666666,0.0,8.0,False,True,True,True
naive,dengue,1,1200203,2023-06-11,51,0.0,0.0,0.0,8.75,14.0,26.0,104.0,316.14999999999986,905.6249999999994,2,14.646805555555554,13.146805555555554,1.5,0.0,12.0,False,True,True,True
naive,dengue,1,1200203,2023-06-18,52,0.0,0.0,0.0,7.5,14.0,26.0,104.80000000000018,321.60000000000014,907.1999999999989,9,12.525555555555558,12.525555555555558,0.0,0.0,5.0,True,True,True,True
naive,dengue,1,1200203,2023-06-25,53,0.0,0.0,0.0,7.0,14.0,24.75,107.30000000000007,319.1999999999998,905.9499999999982,12,12.172499999999992,12.172499999999992,0.0,0.0,2.0,True,True,True,True
naive,dengue,1,1200203,2023-07-02,54,0.0,0.0,0.0,8.0,14.0,24.0,106.19999999999993,318.59999999999945,908.4000000000005,7,12.835555555555553,12.613333333333332,0.2222222222222222,0.0,7.0,False,True,True,True
naive,dengue,1,1200203,2023-07-09,55,0.0,0.0,0.0,7.0,14.0,24.0,108.0,325.75,908.0,12,12.230555555555558,12.230555555555558,0.0,0.0,2.0,True,True,True,True
naive,dengue,1,1200203,2023-07-16,56,0.0,0.0,0.0,8.0,14.0,26.0,108.0,325.7999999999997,909.4499999999995,11,12.405833333333328,12.405833333333328,0.0,0.0,3.0,True,True,True,True
naive,dengue,1,1200203,2023-07-23,57,0.0,0.0,0.0,6.0,14.0,24.75,107.40000000000009,324.4000000000001,909.1999999999989,5,13.306111111111111,13.083888888888888,0.2222222222222222,0.0,9.0,False,True,True,True
naive,dengue,1,1200203,2023-07-30,58,0.0,0.0,0.0,6.0,14.0,25.0,107.60000000000014,324.79999999999995,909.9999999999983,13,12.22222222222222,12.22222222222222,0.0,0.0,1.0,True,True,True,True
naive,dengue,1,1200203,2023-08-06,59,0.0,0.0,0.0,5.75,14.0,25.25,107.0,328.3499999999998,911.4000000000005,10,12.617222222222225,12.617222222222225,0.0,0.0,4.0,True,True,True,True
naive,dengue,1,1200203,2023-08-13,60,0.0,0.0,0.0,5.0,14.0,25.5,108.0,324.5,911.75,14,12.209722222222224,12.209722222222224,0.0,0.0,0.0,True,True,True,True
